report_number,classification,date,latitude,longitude
637,Class A,2000-06-16,61.5,-142.9
2917,Class A,1995-05-15,55.1872,-132.7982
7963,Class A,2004-02-09,55.2035,-132.8202
9317,Class A,2004-06-18,62.9375,-141.5667
13038,Class A,2004-02-15,61.0595,-149.7853
23666,Class A,2008-04-23,62.77335,-141.3165
26604,Class A,2009-07-15,64.89139,-147.8142
179,Class A,1981-09-15,32.31435,-85.16235
245,Class A,1999-07-15,33.28375,-87.32655
416,Class A,1983-11-15,34.95605,-86.4559
435,Class A,2000-10-10,34.5422,-86.66465
451,Class A,1993-08-20,34.9263,-87.02025
577,Class A,1999-11-15,34.80405,-87.50905
799,Class A,1978-04-15,34.92855,-87.1105
832,Class A,1980-11-15,33.13195,-88.17885
961,Class A,1997-01-06,31.4515,-88.08305
1022,Class A,1990-09-15,33.97575,-87.45876
1907,Class A,1996-12-05,31.58255,-87.96095
3028,Class A,2000-06-01,34.4881,-86.6333
3296,Class A,2001-10-15,34.6802,-87.00665
4743,Class A,2000-02-10,31.16,-87.09069
5954,Class A,2007-09-01,33.13,-88.14999
6938,Class A,2003-08-30,33.21145,-87.35664
7031,Class A,2003-06-28,33.26035,-87.31821
7235,Class A,2004-05-28,34.7325,-86.52105
7427,Class A,2003-11-26,32.6218,-85.4258
8171,Class A,2004-05-09,33.3674,-86.64066
8679,Class A,2004-09-30,33.6205,-86.4664
10498,Class A,1979-09-15,33.8132,-86.7891
14082,Class A,2006-09-10,32.30673,-87.24547
15102,Class A,2006-07-06,31.00002,-86.99782
17455,Class A,2007-05-19,32.43,-85.705
17480,Class A,2007-04-22,33.35,-85.625
18043,Class A,1992-08-15,34.27607,-86.17524
22539,Class A,2007-07-18,33.59,-86.5
24646,Class A,2001-04-13,32.184,-86.581
25238,Class A,1999-11-23,33.36305,-86.17122
25559,Class A,2009-02-24,34.71139,-86.6575
26513,Class A,1979-09-14,30.7113,-87.91833
26886,Class A,2000-05-13,32.76967,-86.4891
27067,Class A,1980-01-12,31.86801,-85.35995
27459,Class A,2010-03-12,33.8957,-87.53395
27480,Class A,1990-05-15,33.8957,-87.53395
27568,Class A,2005-01-12,34.70112,-87.77686
33307,Class A,1983-10-14,31.13586,-87.06486
35293,Class A,1978-10-10,31.34781,-86.54527
35475,Class A,2012-05-21,33.41574,-88.12475
37038,Class A,2008-02-15,31.25385,-88.26291
37094,Class A,2012-11-01,33.82162,-85.48985
39383,Class A,2012-08-15,34.32279,-86.5045
40417,Class A,2013-03-16,34.47091,-86.56954
40912,Class A,2013-01-23,34.29511,-86.88621
47975,Class A,2013-01-28,31.53475,-85.7944
186,Class A,2001-08-11,34.55056,-92.34083
1636,Class A,1972-11-05,36.19444,-92.38222
1637,Class A,1995-05-15,36.33528,-92.385
1640,Class A,1996-10-15,34.08,-93
1641,Class A,1998-10-29,34.25,-93.1
1944,Class A,1969-08-16,33.76986,-94.3643
2494,Class A,2001-08-11,34.787,-91.735
2774,Class A,1988-01-10,36.12083,-90.51056
2931,Class A,2001-07-29,33.82111,-92.03389
2957,Class A,1970-06-15,35.9975,-93.83426
3226,Class A,1998-11-15,35.42097,-93.15208
3519,Class A,1984-04-17,33.88861,-93.20389
4090,Class A,2000-01-15,33.26666,-93.886
4093,Class A,1977-09-25,36.19791,-91.1125
4094,Class A,1994-10-15,34.56444,-92.58667
5228,Class A,1997-03-14,36.37111,-91.87
5316,Class A,2002-10-10,36.20611,-94.23417
5607,Class A,1998-07-07,34.70694,-94.45417
6178,Class A,2004-04-04,36.18333,-94.44694
6932,Class A,1999-11-15,35.64861,-91.45889
7045,Class A,2003-10-31,36.34167,-93.94583
7234,Class A,1961-10-15,34.88111,-91.08056
7815,Class A,2003-08-12,35.27833,-93.13361
7971,Class A,2004-02-19,33.18639,-93.9475
8420,Class A,2004-04-03,34.53167,-92.40778
8527,Class A,2004-04-23,35.09306,-94.356
8913,Class A,2001-05-15,33.7985,-91.27056
9507,Class A,1994-07-16,36.41,-93.74
9753,Class A,1986-07-15,35.44944,-91.51306
10913,Class A,2002-11-05,33.14663,-92.61493
10919,Class A,1975-09-15,34.87,-92.12
11430,Class A,1981-07-15,36.31519,-93.75723
11632,Class A,2005-05-07,33.26462,-92.64066
13211,Class A,2005-12-04,34.285,-93.162
13718,Class A,1986-06-01,35.34572,-93.75313
13983,Class A,1980-06-15,35.0194,-90.32
16696,Class A,2004-10-15,34.369,-94.3745
24254,Class A,1992-06-14,34.44652,-93.07654
26100,Class A,1996-11-15,33.14759,-93.89135
27482,Class A,2010-03-23,35.36335,-94.229
27948,Class A,2004-01-14,36.29871,-92.63179
29417,Class A,2010-11-18,34.73147,-92.75093
36178,Class A,2012-07-29,33.26855,-91.22115
36498,Class A,2012-09-13,33.33171,-93.98622
38015,Class A,2012-12-04,36.14065,-92.52505
40020,Class A,2008-01-15,36.33205,-91.52025
40101,Class A,2012-12-07,34.86535,-92.3575
41827,Class A,2009-02-15,36.38605,-92.30614
46380,Class A,2011-11-24,35.703,-91.46231
55376,Class A,2003-12-15,36.37399,-92.27071
56954,Class A,1973-04-15,34.20873,-92.57542
57471,Class A,1976-09-15,34.92336,-92.30519
59736,Class A,2006-06-17,35.738,-90.1355
62340,Class A,1976-08-14,35.186,-93.206
62678,Class A,1997-05-10,36.3025,-93.448
