report_number,classification,date,latitude,longitude
637,Class A,6/16/00,61.5,-142.9
435,Class A,10/10/00,34.5422,-86.66465
3028,Class A,6/1/00,34.4881,-86.6333
4743,Class A,2/10/00,31.16,-87.09069
26886,Class A,5/13/00,32.76967,-86.4891
4090,Class A,1/15/00,33.26666,-93.886
440,Class A,10/10/00,31.99003,-110.1835
3482,Class A,12/24/00,34.90831,-110.8403
147,Class A,6/15/00,38.93333,-119.9833
353,Class A,9/23/00,38.9575,-120.0914
913,Class A,7/1/00,38.93,-120.205
2928,Class A,7/20/00,41.3657,-123.1317
9357,Class A,5/1/00,36.0438,-118.7402
348,Class A,8/20/00,37.57915,-105.4979
408,Class A,8/26/00,39.67095,-105.8199
470,Class A,8/23/00,39.1084,-107.0153
1355,Class A,3/21/00,39.6632,-106.8085
446,Class A,9/22/00,30.2333,-81.52915
9113,Class A,6/1/00,30.56775,-86.6913
12921,Class A,1/1/00,29.098,-82.42
14457,Class A,10/1/00,29.191,-82.6505
20940,Class A,8/1/00,30.23693,-81.54172
27076,Class A,6/13/00,29.58358,-82.33316
32746,Class A,2/28/00,28.54205,-81.20045
2220,Class A,8/30/00,32.0538,-85.0409
26201,Class A,6/1/00,34.06705,-82.86789
59113,Class A,6/15/00,31.08012,-83.16414
511,Class A,10/24/00,41.3675,-92.9008
1046,Class A,11/25/00,42.47806,-93.82007
1271,Class A,2/15/00,41.62183,-93.63804
1554,Class A,6/14/00,40.59604,-93.77783
3521,Class A,11/15/00,40.4664,-91.0007
29287,Class A,4/7/00,41.7584,-90.0795
40457,Class A,1/9/00,40.25679,-90.59952
57303,Class A,5/18/00,38.33912,-89.35323
514,Class A,10/23/00,30.1878,-90.8493
1458,Class A,4/5/00,31.6825,-92.3104
1536,Class A,11/18/00,31.6825,-92.3104
3777,Class A,8/22/00,31.4676,-92.2508
45572,Class A,10/21/00,44.50587,-85.51546
17551,Class A,2/21/00,45.1836,-93.06226
1150,Class A,5/31/00,37.8602,-90.0329
58092,Class A,5/1/00,38.93704,-92.32704
751,Class A,4/21/00,48.25422,-101.3166
359,Class A,8/1/00,40.98596,-81.11642
378,Class A,7/11/00,39.58157,-82.36887
1117,Class A,12/28/00,41.72134,-80.88494
1755,Class A,10/15/00,39.86096,-83.96562
1756,Class A,11/24/00,39.89216,-83.96123
4978,Class A,2/1/00,41.36755,-80.76735
5977,Class A,5/1/00,39.10611,-83.0363
7936,Class A,6/29/00,39.74107,-82.70263
7995,Class A,5/25/00,39.17029,-82.47604
8778,Class A,10/1/00,41.06019,-81.79669
1299,Class A,1/28/00,34.39639,-95.01167
1302,Class A,7/1/00,34.44333,-94.65639
1506,Class A,1/28/00,34.61361,-94.84861
63286,Class A,6/10/00,35.325,-95.0585
