time,shape,duration_hours_min,date,latitude,longitude
4:00:00 PM,disk,30 min.,5/11/00,40.6686111,-73.5275
3:20:00 AM,triangle,3sec,2/16/00,39.0725,-93.7169444
10:30:00 PM,egg,2 hours,12/2/00,47.55,-52.666667
3:00:00 AM,oval,3 minutes,12/2/00,37.7241667,-89.8611111
6:15:00 AM,other,10 seconds,12/2/00,26.525,-80.0666667
7:30:00 AM,cylinder,30seconds,12/2/00,46.216667,-63.483333
4:00:00 PM,triangle,45 seconds,12/2/00,43.40555,-88.705104
8:20:00 PM,oval,15 seconds,12/2/00,38.627003,-90.199404
8:30:00 PM,light,30 min.,12/2/00,38.1266667,-92.0844444
9:30:00 PM,light,4-5 seconds,12/2/00,38.9988889,-84.6266667
4:45:00 PM,egg,possible 4 hrs.,7/11/00,26.9338889,-80.0944444
11:59:00 PM,fireball,60 seconds,8/19/00,38.3708333,-90.5002778
7:30:00 PM,diamond,3 seconds,12/2/00,51.514125,-0.093689
8:00:00 PM,light,30 seconds,12/2/00,43.9747222,-75.9111111
10:00:00 PM,light,hours,12/2/00,38.7138889,-121.4616667
10:09:00 PM,changing,3 or 4 minutes,12/20/00,52.75,-3.883333
2:00:00 PM,sphere,2 minutes,4/1/00,37.2438889,-77.4105556
10:00:00 PM,light,20 mins.,4/15/00,48.5127778,-122.6113889
10:30:00 PM,unknown,60 seconds,9/17/00,42.1083333,-91.285
6:00:00 PM,sphere,4 minutes,1/7/00,40.4188889,-80.5897222
9:00:00 PM,triangle,15 seconds,2/16/00,44.314844,-85.602364
9:00:00 PM,disk,5 min,2/16/00,40.4405556,-79.9961111
9:30:00 PM,triangle,1 hour,12/2/00,41.7386111,-80.77
1:30:00 AM,sphere,90 seconds,1/22/00,38.812963,-120.030183
1:00:00 AM,formation,9:00 minutes,12/2/00,47.3444444,-122.7619444
7:40:00 PM,cigar,20 sec,12/2/00,33.3061111,-111.8405556
8:00:00 PM,unknown,15 seconds,12/2/00,37.5202778,-122.2747222
8:00:00 PM,unknown,1 hour,12/20/00,44.3,-120.8333333
9:30:00 PM,light,3 to 5 minutes,12/2/00,38.8338889,-104.8208333
9:30:00 PM,light,about-30sec,12/2/00,40.3461111,-94.8722222
11:15:00 PM,diamond,15 minutes,12/2/00,42.9047222,-76.3944444
11:45:00 PM,disk,23:45 - 23:50,12/2/00,34.6875,-77.1194444
12:07:00 PM,fireball,1 hour,2/27/00,39.9991667,-78.2388889
10:00:00 PM,fireball,10 minutes?,2/23/00,33.4483333,-112.0733333
5:40:00 PM,disk,6 seconds,12/2/00,38.9863889,-81.9736111
6:00:00 PM,cigar,10 minutes,12/2/00,43.4155556,-72.8227778
6:45:00 PM,light,35 minutes,12/2/00,33.348216,-111.789581
6:59:00 PM,oval,app 18 min,12/2/00,33.3527778,-111.7883333
7:00:00 PM,unknown,15 minutes,12/2/00,33.3527778,-111.7883333
7:30:00 PM,fireball,approx 1 minute,12/2/00,36.1538889,-95.9925
